"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","prcp","fog","NUM_COLLISIONS","NUM_COLLISIONS_norm"
"105",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,45.8,37.9,0.2,0,206,0.151515151515152
"106",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,51.6,49.7,0.33,0,295,0.690909090909091
"107",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2023,68.9,68.8,0,1,294,0.684848484848485
"108",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2023,70,65.9,0,0,265,0.509090909090909
"109",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2022,69.7,64.3,0,0,260,0.368715083798883
"110",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2022,46,30,0.42,0,264,0.391061452513966
"111",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,41.9,34.4,0,0,276,0.458100558659218
"112",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,33.7,29.5,0,0,239,0.2421875
"113",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,75.6,72.8,0,1,293,0.453125
"114",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2021,65.4,58.5,0,1,329,0.59375
"115",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2021,54.9,45,0,0,329,0.59375
"116",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2021,49.8,44.9,0.83,0,279,0.3984375
"117",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2022,72,68,0,0,294,0.558659217877095
"118",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2022,56,48.7,0.68,0,254,0.335195530726257
"119",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,68.1,61.2,0,0,279,0.474860335195531
"120",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,77.2,74.5,0,0,279,0.474860335195531
"121",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,38.9,24.3,0,0,277,0.463687150837989
"122",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,40.7,32.5,0.01,0,282,0.491620111731844
"123",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2022,49,34,0,0,295,0.564245810055866
"124",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,39.7,32.8,0.29,1,208,0.0782122905027933
"125",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,50.1,47.2,0.19,1,302,0.733333333333333
"126",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,33.3,21.8,0,0,246,0.393939393939394
"127",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2021,55.9,51.8,0.13,0,314,0.53515625
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2021,57.4,45.3,0,0,322,0.56640625
"129",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,37,36.1,0,0,208,0.12109375
"130",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,68.5,65.7,0,0,245,0.387878787878788
"131",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,54.4,53.5,0.19,0,297,0.703030303030303
"132",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,40.3,24.5,0,0,260,0.478787878787879
"133",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2021,46.2,36.4,0,0,295,0.4609375
"134",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,70.2,60.2,0,0,301,0.484375
"135",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,32.4,25.3,0,0,245,0.265625
"136",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2021,58,43.1,0.09,0,318,0.55078125
"137",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,38,28.4,0.03,0,207,0.1171875
"138",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2021,73.8,66.5,0,0,378,0.78515625
"139",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2021,61.1,55.5,0.25,0,330,0.59765625
"140",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2023,67,66.3,0,1,289,0.654545454545455
"141",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,70.8,66.4,0.01,1,270,0.539393939393939
"142",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2021,57.5,50.5,0,0,320,0.55859375
"143",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2021,56.3,47.1,0,0,316,0.54296875
