"","day_reordered","temp","dewp","prcp","fog","NUM_COLLISIONS","NUM_COLLISIONS_norm"
"246",4,39.3,27.7,0.02,0,252,0.43030303030303
"247",4,46,38.9,0.29,0,271,0.545454545454545
"248",4,53.8,48.2,0,0,262,0.490909090909091
"249",4,67.9,61.5,0,1,231,0.303030303030303
"250",4,26.1,8.7,0,0,268,0.35546875
"251",4,68,64.1,0,1,369,0.75
"252",4,77,70.2,0,1,310,0.51953125
"253",4,26.1,21.2,0,1,229,0.203125
"254",4,42.1,38.6,0.18,0,268,0.527272727272727
"255",4,40.8,37.5,0,0,226,0.272727272727273
"256",4,41.4,35.5,0,0,260,0.478787878787879
"257",4,46,45.1,0,1,188,0.0424242424242424
"258",4,69.6,60.3,0,0,280,0.6
"259",4,49,43.3,0,0,244,0.279329608938547
"260",4,69.7,59.6,0.08,1,315,0.675977653631285
"261",4,52.4,44.2,0.75,0,326,0.58203125
"262",4,72,70.4,0.02,1,326,0.737430167597765
"263",4,20.4,1,0.01,0,289,0.53072625698324
"264",4,74,72,0.49,1,273,0.441340782122905
"265",4,68.2,61.4,0.06,0,295,0.564245810055866
"266",4,56.3,46.5,0,0,278,0.46927374301676
"267",4,76,70.7,0,0,292,0.547486033519553
"268",4,64.3,57.4,0,0,354,0.893854748603352
"269",4,38.2,34.6,0,1,261,0.484848484848485
"270",4,49.7,44.6,0,0,305,0.751515151515151
"271",4,69.5,68.7,0.04,1,280,0.6
"272",4,28.4,14.5,0,0,237,0.234375
"273",4,69.9,60.9,0,0,286,0.42578125
"274",4,42.1,34.7,0,0,299,0.4765625
"275",4,69.5,58.8,0,0,342,0.64453125
"276",4,48.1,33.1,0,0,273,0.375
"277",4,38.5,35.3,0.81,0,240,0.24609375
"278",4,73.1,69.8,0,1,331,0.6015625
"279",4,63,56.9,0,0,321,0.5625
"280",4,74.3,69.2,0,1,286,0.42578125
"281",4,38.7,36.1,0.14,0,228,0.19921875
"282",4,70.9,69.3,0,0,240,0.357575757575758
"283",4,47.5,39,0,0,318,0.55078125
"284",4,45.9,27.2,0,0,315,0.5390625
"285",4,45.5,39.2,0,0,321,0.5625
"286",4,76.7,66.6,0,1,318,0.55078125
"287",4,64.5,61.9,0,1,355,0.6953125
"288",4,66.2,59.7,0,0,311,0.5234375
"289",4,59.5,53.5,0,0,313,0.8
"290",4,51.7,44.4,0,0,286,0.636363636363636
"291",4,65.9,62,0.01,0,285,0.63030303030303
"292",4,36.3,27.4,0.04,0,235,0.327272727272727
"293",4,69.6,68.6,0.44,0,254,0.442424242424242
"294",4,50.3,44.5,0,1,313,0.53125
"295",4,70.6,67,0,1,290,0.44140625
"296",4,63.3,59.7,0.97,0,318,0.55078125
"297",4,72.6,66.6,0,1,285,0.63030303030303
"298",4,71.1,69.6,0.03,1,246,0.393939393939394
"299",4,61.4,60.5,0.69,1,274,0.563636363636364
"300",4,56.2,51.5,0,0,238,0.345454545454545
"301",4,42.1,34,0,0,248,0.406060606060606
"302",4,71,65.2,0.02,1,276,0.575757575757576
"303",4,31.9,23.4,0,0,263,0.3359375
"304",4,48.9,32.1,0,0,322,0.56640625
"305",4,43.5,31.2,0,0,256,0.30859375
"306",4,71.4,61.8,0,0,337,0.625
"307",4,57.7,50.2,0.01,0,282,0.612121212121212
"308",4,37.3,30.8,0.01,0,256,0.454545454545455
"309",4,68.9,68,0.01,1,229,0.290909090909091
"310",5,77.1,71.4,0,0,290,0.536312849162011
"311",5,55.2,47.3,0.01,0,314,0.670391061452514
"312",5,30,18.8,0,0,250,0.312849162011173
"313",5,61.1,53.1,0.34,0,322,0.715083798882682
"314",5,41,24.3,0,0,273,0.441340782122905
"315",5,38.2,29.7,0.23,0,284,0.624242424242424
"316",5,69.2,68.3,0,1,260,0.478787878787879
"317",5,70.3,63.9,0.03,0,261,0.374301675977654
"318",5,77.7,72.5,0,0,324,0.726256983240223
"319",5,49.5,47,0.3,0,253,0.329608938547486
"320",5,37.1,18.9,0,0,368,0.74609375
"321",5,43.6,33.3,0.07,0,266,0.34765625
"322",5,50,37.5,0.24,0,321,0.5625
"323",5,47.2,45.6,0,0,268,0.35546875
"324",5,39.7,33.9,0,0,224,0.18359375
"325",5,38.2,26,0,0,244,0.26171875
"326",5,64.8,50.2,0,0,365,0.734375
"327",5,69.1,67.3,0,1,331,0.6015625
"328",5,63.9,61.4,0.12,1,311,0.653631284916201
"329",5,76.5,72.6,0.02,0,262,0.379888268156425
"330",5,75.4,69.8,0,0,307,0.631284916201117
"331",5,49.4,45.6,0,0,279,0.474860335195531
"332",5,38.1,30.1,0,0,268,0.41340782122905
"333",5,53.6,41.6,0,0,304,0.614525139664804
"334",5,68.3,67,0.6,1,266,0.402234636871508
"335",5,36.5,29.5,0.04,0,222,0.248484848484848
